0485,0486
0487,0489
0490,0491
0492,0493
0494,0495
0496,0497
0498,0632
0499,0627
0500,0516
0501,0509
0502,0505
0503,0504
0506,0511
0507,0520
0508,0524
0510,0526
0512,0521
0514,0519
0515,0518
0513,0525
0522,0523
0571,0615
0573,0616
0572,0598
0579,0614
0589,0623
0581,0585
0612,0628
0591,0618
0590,0604
0593,0606
0596,0633
0594,0595
0602,0630
0600,0629
0608,0617
0609,0625
0574,0621
0575,0624
0605,0626
0576,0603
0580,0619
0577,0631
0578,0592
0582,0610
0584,0613
0586,0607
0588,0622
1555,1591
1516,1567
1579,1586
1507,1558
1549,1562
1504,1589
0570,0583
0601,0611
1537,1598
1534,1543
1544,1597
1522,1545
1576,1592
1546,1588
1492,1547
1511,1536
1495,1501
1570,1595
1531,1600
1493,1557
1497,1561
1530,1582
1491,1512
1535,1603
1552,1565
1498,1521
1583,1599
1499,1587
1505,1509
1532,1574
1508,1593
1520,1577
1490,1573
1526,1538
1550,1602
1500,1568
1514,1578
1542,1585
1515,1584
1506,1510
1527,1560
1563,1590
1524,1569
1533,1540
1539,1556
1553,1575
1529,1554
1518,1572
1541,1559
1571,1581
1502,1551
1594,1596
1706,1708
1606,1705
1607,1608
1620,1667
1615,1691
1604,1661
1663,1680
1662,1699
1605,1656
1631,1698
1618,1628
1684,1685
1666,1672
1668,1695
1678,1700
1657,1658
1660,1690
1617,1694
1683,1686
1671,1676
1697,1701
1634,1689
1626,1630
1623,1673
1609,1614
1646,1670
1632,1652
1627,1638
1624,1677
1612,1633
1647,1682
1674,1692
1625,1637
1611,1641
1610,1645
1650,1659
1622,1687
1640,1648
1636,1688
1613,1681
1629,1693
1621,1649
1639,1651
1653,1654
1642,1644
1675,1696
1635,1655
1643,1664
1702,1704
1703,1707
1374,1375
1373,1376
1371,1372
1327,1363
1344,1356
1349,1365
1332,1346
1310,1318
1342,1379
1308,1322
1315,1360
1314,1358
1325,1383
1331,1353
1324,1382
1311,1339
1355,1357
1326,1369
1321,1366
1305,1333
1328,1343
1354,1368
1330,1381
1313,1352
1303,1306
1301,1317
1329,1345
1309,1312
1274,1307
1275,1281
1277,1279
1276,1278
1273,1280
1348,1386
1361,1367
1378,1385
1377,1380
1340,1362
1334,1341
1336,1384
1347,1370
1284,1359
1283,1285
1272,1294
1289,1290
1271,1299
1286,1293
1288,1292
1298,1295
1287,1291
1398,1403
1399,1412
1406,1418
1391,1397
1435,1439
1407,1434
1409,1464
1405,1466
1441,1443
1411,1448
1415,1442
1422,1436
1401,1469
1396,1408
1400,1419
1417,1437
1389,1393
1404,1421
1410,1465
1414,1420
1416,1467
1402,1413
1387,1485
1390,1440
1395,1449
1388,1394
1446,1483
1426,1480
1447,1482
1452,1459
1472,1487
1433,1488
1425,1428
1424,1450
1423,1473
1430,1479
1427,1454
1432,1486
1484,1489
1431,1438
1453,1456
1468,1481
1445,1460
1429,1461
1451,1479
1458,1463
1457,1477
1392,1618
1462,1471
1470,1476
